Date,Open,High,Low,Close,Volume,MA5,MA25,RSI,MACD,Signal,entry,stop_loss,take_profit,decision,score
2025-12-30 00:00:00+09:00,1298.0,1328.0,1241.0,1244.0,571200,,,,,,,,,,
2026-01-05 00:00:00+09:00,1256.0,1272.0,1225.0,1245.0,459700,,,,,,,,,,
2026-01-06 00:00:00+09:00,1237.0,1268.0,1234.0,1237.0,302000,,,,,,,,,,
2026-01-07 00:00:00+09:00,1417.0,1537.0,1330.0,1537.0,7249500,,,,,,,,,,
2026-01-08 00:00:00+09:00,1724.0,1808.0,1563.0,1570.0,8032400,1366.6,,,,,,,,,
2026-01-09 00:00:00+09:00,1545.0,1600.0,1435.0,1480.0,2446000,1413.8,,,,,,,,,
2026-01-13 00:00:00+09:00,1549.0,1554.0,1462.0,1468.0,1000100,1458.4,,,,,,,,,
2026-01-14 00:00:00+09:00,1489.0,1528.0,1423.0,1434.0,784400,1497.8,,,,,,,,,
2026-01-15 00:00:00+09:00,1430.0,1584.0,1404.0,1505.0,1464500,1491.4,,,,,,,,,
2026-01-16 00:00:00+09:00,1509.0,1573.0,1465.0,1535.0,861200,1484.4,,,,,,,,,
2026-01-19 00:00:00+09:00,1585.0,1599.0,1516.0,1582.0,1134100,1504.8,,,,,,,,,
2026-01-20 00:00:00+09:00,1599.0,1599.0,1486.0,1497.0,581500,1510.6,,,,,,,,,
2026-01-21 00:00:00+09:00,1453.0,1482.0,1425.0,1457.0,473200,1515.2,,,,,,,,,
2026-01-22 00:00:00+09:00,1487.0,1499.0,1435.0,1444.0,427600,1503.0,,56.69760456768742,,,,,,,
2026-01-23 00:00:00+09:00,1438.0,1488.0,1427.0,1482.0,277900,1492.4,,60.13276508509152,,,,,,,
2026-01-26 00:00:00+09:00,1480.0,1523.0,1441.0,1488.0,412200,1473.6,,60.66338607363392,,,,,,,
2026-01-27 00:00:00+09:00,1450.0,1496.0,1418.0,1487.0,363600,1471.6,,60.51881142943179,,,,,,,
2026-01-28 00:00:00+09:00,1490.0,1490.0,1426.0,1441.0,304300,1468.4,,54.1283424971381,,,,,,,
2026-01-29 00:00:00+09:00,1434.0,1437.0,1375.0,1400.0,350700,1459.6,,49.146961923139074,,,,,,,
2026-01-30 00:00:00+09:00,1375.0,1415.0,1367.0,1400.0,341700,1443.2,,49.146961923139074,,,,,,,
2026-02-02 00:00:00+09:00,1400.0,1440.0,1366.0,1400.0,303500,1425.6,,49.14696192313907,,,,,,,
2026-02-03 00:00:00+09:00,1425.0,1458.0,1402.0,1458.0,302600,1419.8,,56.25925095309926,,,,,,,
2026-02-04 00:00:00+09:00,1431.0,1440.0,1392.0,1437.0,284800,1419.0,,53.3498620453053,,,,,,,
2026-02-05 00:00:00+09:00,1422.0,1442.0,1365.0,1382.0,325800,1415.4,,46.55880011897862,,,,,,,
2026-02-06 00:00:00+09:00,1353.0,1421.0,1316.0,1411.0,370200,1417.6,1440.84,50.16120030284096,,,,,,,
2026-02-09 00:00:00+09:00,1425.0,1459.0,1380.0,1406.0,482800,1418.8,1447.32,49.54113363574787,13.448183085447681,,,,,,
2026-02-10 00:00:00+09:00,1409.0,1435.0,1397.0,1412.0,294600,1409.6,1454.0,50.33453132811614,11.440365368873017,,,,,,
2026-02-12 00:00:00+09:00,1403.0,1455.0,1384.0,1445.0,508700,1411.2,1462.32,54.565916755601954,12.369392908663713,,,,,,
2026-02-13 00:00:00+09:00,1420.0,1432.0,1360.0,1381.0,446300,1411.0,1456.08,46.32308815016578,7.850888640309677,,,,,,
2026-02-16 00:00:00+09:00,1371.0,1372.0,1335.0,1363.0,316000,1401.4,1447.8,44.29633961349624,2.785383716210845,,,,,,
2026-02-17 00:00:00+09:00,1358.0,1358.0,1291.0,1313.0,344600,1382.8,1441.12,39.16967909283133,-5.203662976073929,,,,,,
2026-02-18 00:00:00+09:00,1313.0,1385.0,1310.0,1371.0,351600,1374.6,1437.24,46.85360554144884,-6.776805963179413,,,,,,
2026-02-19 00:00:00+09:00,1356.0,1391.0,1330.0,1388.0,265400,1363.2,1435.4,48.89141042539769,-6.575971483410967,,,,,,
2026-02-20 00:00:00+09:00,1385.0,1403.0,1351.0,1398.0,240400,1366.6,1431.12,50.103390800627544,-5.5459618883396615,0.5656472584447314,,,,,
2026-02-24 00:00:00+09:00,1375.0,1390.0,1323.0,1385.0,334500,1371.0,1425.12,48.4934395844027,-5.712809506009535,-0.6900440944461219,,,,,
2026-02-25 00:00:00+09:00,1368.0,1420.0,1367.0,1420.0,292700,1392.4,1418.64,52.88310700904391,-2.9864045397278005,-1.1493161835024577,,,,,
2026-02-26 00:00:00+09:00,1408.0,1442.0,1401.0,1429.0,290600,1404.0,1415.92,53.9694681203898,-0.09835045458135028,-0.9391230377182362,,,,,
2026-02-27 00:00:00+09:00,1430.0,1519.0,1430.0,1519.0,634400,1430.2,1418.4,63.12551847507671,9.344977964887448,1.1176971628029007,,,,,
2026-03-02 00:00:00+09:00,1470.0,1569.0,1454.0,1554.0,877000,1461.4,1422.8,65.9611348156651,19.429124413589307,4.779982612960182,,,,,
2026-03-03 00:00:00+09:00,1548.0,1560.0,1425.0,1428.0,507000,1470.0,1420.64,50.81234419133293,17.05711237865671,7.235408566099488,,,,,
2026-03-04 00:00:00+09:00,1398.0,1419.0,1275.0,1308.0,709900,1447.6,1413.44,41.12524535815808,5.431665771474172,6.874660007174425,,,,,
2026-03-05 00:00:00+09:00,1368.0,1413.0,1362.0,1390.0,283600,1439.8,1409.56,48.368833166436275,2.802821098935283,6.060292225526597,,,,,
2026-03-06 00:00:00+09:00,1390.0,1518.0,1390.0,1517.0,515800,1439.4,1412.6,57.160035456701735,10.842298109351532,7.016693402291585,,,,,
2026-03-09 00:00:00+09:00,1423.0,1541.0,1422.0,1541.0,685600,1436.8,1418.24,58.59480890486497,18.93200462053983,9.399755645941234,,,,,
2026-03-10 00:00:00+09:00,1528.0,1619.0,1510.0,1616.0,793600,1474.4,1426.88,62.78893109494075,31.037250409983017,13.727254598749592,,,,,
2026-03-11 00:00:00+09:00,1620.0,1748.0,1604.0,1748.0,1308900,1562.4,1440.8,68.78245663597988,50.69763100957539,21.121329880914754,,,,,
2026-03-12 00:00:00+09:00,1693.0,1715.0,1571.0,1612.0,702600,1606.8,1446.96,58.35378676933897,54.67430947353432,27.83192579943867,,,,,
2026-03-13 00:00:00+09:00,1578.0,1620.0,1551.0,1570.0,407300,1617.4,1452.28,55.55254703728323,53.816444344459114,33.02882950844276,,,,,
2026-03-16 00:00:00+09:00,1610.0,1617.0,1509.0,1553.0,596000,1619.8,1459.12,54.413935229634475,51.1749096211729,36.658045530988794,,,,,
2026-03-17 00:00:00+09:00,1575.0,1662.0,1530.0,1540.0,640700,1604.6,1464.28,53.510719254639426,47.48510424399774,38.823457273590584,,,,,
2026-03-18 00:00:00+09:00,1565.0,1574.0,1521.0,1570.0,284400,1569.0,1470.84,55.35251335194994,46.44625268929963,40.348016356732394,,,,,
2026-03-19 00:00:00+09:00,1534.0,1565.0,1478.0,1492.0,296200,1545.0,1474.04,49.825414851112114,38.88081340639587,40.05457576666509,,,,,
2026-03-23 00:00:00+09:00,1432.0,1460.0,1318.0,1318.0,652000,1494.6,1468.96,40.18558294964518,18.63004686387694,35.76966998610746,,,,,
2026-03-24 00:00:00+09:00,1405.0,1415.0,1345.0,1384.0,347600,1460.8,1469.08,44.56654840839915,7.816710719579987,30.179078132801965,,,,,
2026-03-25 00:00:00+09:00,1425.0,1469.0,1394.0,1469.0,371000,1446.6,1473.32,49.67839821111899,6.036271168127087,25.35051673986699,,,,,
2026-03-26 00:00:00+09:00,1441.0,1463.0,1414.0,1435.0,238000,1419.6,1478.2,47.78037973588386,1.860299768349023,20.652473345563397,,,,,
2026-03-27 00:00:00+09:00,1421.0,1469.0,1391.0,1446.0,243800,1410.4,1481.2,48.46637636865192,-0.5551798157314352,16.410942713304433,,,,,
2026-03-30 00:00:00+09:00,1416.0,1503.0,1395.0,1495.0,276200,1445.8,1485.48,51.52147840669693,1.4675091690000954,13.422256004443565,,,,,
2026-03-31 00:00:00+09:00,1478.0,1486.0,1431.0,1439.0,219700,1456.8,1487.12,48.01787751340627,-1.431723212409679,10.451460161072916,,,,,
2026-04-01 00:00:00+09:00,1481.0,1515.0,1474.0,1499.0,200700,1462.8,1491.68,51.799884263293094,1.099439146456234,8.58105595814958,,,,,
2026-04-02 00:00:00+09:00,1499.0,1534.0,1380.0,1385.0,469200,1452.8,1490.28,45.08768940999839,-6.024002756386153,5.660044215242434,,,,,
2026-04-03 00:00:00+09:00,1401.0,1424.0,1380.0,1385.0,178300,1440.6,1488.52,45.0876894099984,-11.536397378198444,2.220755896554258,,,,,
2026-04-06 00:00:00+09:00,1396.0,1424.0,1388.0,1388.0,125300,1419.2,1483.28,45.30399966323751,-15.484439918043563,-1.3202832663653064,,,,,
2026-04-07 00:00:00+09:00,1395.0,1423.0,1372.0,1380.0,143000,1407.4,1476.32,44.7972284366596,-19.03935142455407,-4.864096898003059,,,,,
2026-04-08 00:00:00+09:00,1444.0,1460.0,1372.0,1388.0,448100,1385.2,1474.72,45.45431186083701,-20.96938919832064,-8.085155358066576,,,,,
2026-04-09 00:00:00+09:00,1380.0,1381.0,1324.0,1337.0,428700,1375.6,1475.88,42.020432602860474,-26.310935725365198,-11.7303114315263,,,,,
2026-04-10 00:00:00+09:00,1337.0,1347.0,1303.0,1303.0,298400,1359.2,1472.4,39.85858425000466,-32.90831906449853,-15.965912958120745,,,,,
2026-04-13 00:00:00+09:00,1300.0,1327.0,1281.0,1287.0,292400,1339.0,1463.2,38.84576002819137,-38.978538842286525,-20.5684381349539,,,,,
2026-04-14 00:00:00+09:00,1330.0,1335.0,1276.0,1276.0,372300,1318.2,1452.6,38.12843079811455,-44.16770204320551,-25.288290916604225,,,,,
2026-04-15 00:00:00+09:00,1285.0,1288.0,1196.0,1196.0,671900,1279.8,1435.8,33.310718216969434,-54.11171649357584,-31.05297603199855,,,,,
2026-04-16 00:00:00+09:00,1217.0,1230.0,1186.0,1186.0,572200,1249.6,1413.32,32.75360210289574,-62.083674065876494,-37.25911563877414,,,,,
2026-04-17 00:00:00+09:00,1199.0,1210.0,1177.0,1200.0,406100,1229.0,1396.84,34.40757403892131,-66.50519439670029,-43.10833139035937,,,,,
2026-04-20 00:00:00+09:00,1200.0,1275.0,1195.0,1245.0,564000,1220.6,1383.84,39.55389199285753,-65.62171095906433,-47.61100730410036,,,,,
2026-04-21 00:00:00+09:00,1273.0,1282.0,1218.0,1242.0,462800,1213.8,1371.4,39.33233468916419,-64.4210135539754,-50.97300855407537,,,,,
2026-04-22 00:00:00+09:00,1272.0,1465.0,1260.0,1380.0,2600400,1250.6,1365.0,52.51007266957779,-51.737606600655226,-51.12592816339134,,,,,
2026-04-23 00:00:00+09:00,1434.0,1461.0,1288.0,1315.0,1426100,1276.4,1354.8,47.29870418578038,-46.39604723152229,-50.17995197701753,,,,,
2026-04-24 00:00:00+09:00,1303.0,1415.0,1289.0,1385.0,995500,1313.4,1350.52,52.7385385553427,-36.09828935278256,-47.36361945217054,,,,,
2026-04-27 00:00:00+09:00,1360.0,1428.0,1320.0,1350.0,488600,1334.4,1351.8,49.9616657934664,-30.4108917058752,-43.97307390291148,,,,,
2026-04-28 00:00:00+09:00,1338.0,1398.0,1336.0,1395.0,386600,1365.0,1352.24,53.36182016639651,-22.018646920339506,-39.58218850639709,,,,,
2026-04-30 00:00:00+09:00,1365.0,1423.0,1342.0,1342.0,662300,1357.4,1347.16,49.12763641509612,-19.42052183856231,-35.549855172830135,,,,,
2026-05-01 00:00:00+09:00,1349.0,1472.0,1340.0,1432.0,1426100,1380.8,1347.04,55.57416598603723,-9.984150086873115,-30.436714155638732,,,,,
2026-05-07 00:00:00+09:00,1445.0,1470.0,1377.0,1405.0,646100,1384.8,1345.4,53.38843266649341,-4.631048001226418,-25.27558092475627,,,,,
2026-05-08 00:00:00+09:00,1394.0,1540.0,1360.0,1515.0,991400,1417.8,1346.2,60.248001124765665,8.390682100077811,-18.542328319789455,,,,,
2026-05-11 00:00:00+09:00,1531.0,1717.0,1500.0,1650.0,2960000,1468.8,1354.64,66.72092003186128,29.266502753805298,-8.980562105070504,,,,,
2026-05-12 00:00:00+09:00,1700.0,1723.0,1434.0,1454.0,2288100,1491.2,1352.84,53.18128375905325,29.653353661952906,-1.2537789516658222,,,,,
2026-05-13 00:00:00+09:00,1437.0,1548.0,1430.0,1501.0,651400,1505.0,1357.48,55.51263711833716,33.367799773328215,5.670536793332985,,,,,
2026-05-14 00:00:00+09:00,1525.0,1530.0,1403.0,1437.0,464500,1511.4,1359.56,51.73484096277683,30.792305418726983,10.694890518411786,,,,,
2026-05-15 00:00:00+09:00,1410.0,1530.0,1410.0,1457.0,601800,1499.8,1362.32,52.81548062232842,30.019000093398517,14.559712433409132,,,,,
2026-05-18 00:00:00+09:00,1477.0,1502.0,1371.0,1414.0,345900,1452.6,1363.68,50.212436102286404,25.64083780041028,16.775937506809363,,,,,
2026-05-19 00:00:00+09:00,1430.0,1505.0,1421.0,1435.0,407500,1448.8,1365.56,51.470384235619576,23.593664063163942,18.139482818080282,,,,,
2026-05-20 00:00:00+09:00,1421.0,1435.0,1310.0,1349.0,457800,1418.4,1366.04,46.31001668585178,14.860480490527607,17.483682352569748,,,,,
2026-05-21 00:00:00+09:00,1357.0,1357.0,1310.0,1326.0,208600,1396.2,1366.96,45.01029852680712,6.014134608940594,15.189772803843919,,,,,
2026-05-22 00:00:00+09:00,1330.0,1377.0,1296.0,1368.0,336600,1378.4,1370.2,47.88657107659027,2.3651270423531514,12.624843651545765,,,,,
2026-05-25 00:00:00+09:00,1369.0,1381.0,1328.0,1343.0,197900,1364.2,1372.88,46.3330575580957,-2.5150370288179147,9.59686751547303,,,,,
2026-05-26 00:00:00+09:00,1342.0,1367.0,1318.0,1320.0,207600,1341.2,1377.84,44.890193920797564,-8.144623842085139,6.048569243961396,,,,,
