Date,Open,High,Low,Close,Volume,MA5,MA25,RSI,MACD,Signal,entry,stop_loss,take_profit,decision,score
2025-12-30 00:00:00+09:00,932.0,935.0,899.0,901.0,717800,,,,,,,,,,
2026-01-05 00:00:00+09:00,915.0,923.0,898.0,916.0,371900,,,,,,,,,,
2026-01-06 00:00:00+09:00,923.0,955.0,918.0,952.0,290400,,,,,,,,,,
2026-01-07 00:00:00+09:00,1102.0,1102.0,1102.0,1102.0,246200,,,,,,,,,,
2026-01-08 00:00:00+09:00,1380.0,1384.0,1220.0,1234.0,13254200,1021.0,,,,,,,,,
2026-01-09 00:00:00+09:00,1229.0,1275.0,1142.0,1180.0,4196100,1076.8,,,,,,,,,
2026-01-13 00:00:00+09:00,1220.0,1222.0,1152.0,1158.0,1971500,1125.2,,,,,,,,,
2026-01-14 00:00:00+09:00,1160.0,1203.0,1116.0,1124.0,1247400,1159.6,,,,,,,,,
2026-01-15 00:00:00+09:00,1105.0,1202.0,1102.0,1168.0,1522700,1172.8,,,,,,,,,
2026-01-16 00:00:00+09:00,1157.0,1186.0,1123.0,1149.0,834100,1155.8,,,,,,,,,
2026-01-19 00:00:00+09:00,1140.0,1193.0,1120.0,1174.0,628200,1154.6,,,,,,,,,
2026-01-20 00:00:00+09:00,1194.0,1196.0,1128.0,1128.0,575700,1148.6,,,,,,,,,
2026-01-21 00:00:00+09:00,1090.0,1112.0,1072.0,1082.0,569600,1140.2,,,,,,,,,
2026-01-22 00:00:00+09:00,1134.0,1144.0,1103.0,1110.0,552100,1128.6,,59.78695501651888,,,,,,,
2026-01-23 00:00:00+09:00,1100.0,1135.0,1092.0,1108.0,323500,1120.4,,59.467521247202505,,,,,,,
2026-01-26 00:00:00+09:00,1101.0,1118.0,1072.0,1075.0,360800,1100.6,,54.311281862072825,,,,,,,
2026-01-27 00:00:00+09:00,1068.0,1097.0,1043.0,1096.0,343200,1094.2,,56.87389756904517,,,,,,,
2026-01-28 00:00:00+09:00,1082.0,1082.0,1047.0,1056.0,308100,1089.0,,51.005531859330446,,,,,,,
2026-01-29 00:00:00+09:00,1045.0,1075.0,1031.0,1060.0,348200,1079.0,,51.54397107448161,,,,,,,
2026-01-30 00:00:00+09:00,1050.0,1090.0,1047.0,1086.0,352600,1074.6,,55.00534561695304,,,,,,,
2026-02-02 00:00:00+09:00,1080.0,1117.0,1065.0,1065.0,443400,1072.6,,51.787561752225585,,,,,,,
2026-02-03 00:00:00+09:00,1070.0,1096.0,1069.0,1092.0,238500,1071.8,,55.40011966551604,,,,,,,
2026-02-04 00:00:00+09:00,1104.0,1114.0,1075.0,1114.0,311100,1083.4,,58.15166995450146,,,,,,,
2026-02-05 00:00:00+09:00,1114.0,1119.0,1095.0,1110.0,286800,1093.4,,57.457584221730905,,,,,,,
2026-02-06 00:00:00+09:00,1100.0,1170.0,1058.0,1170.0,807600,1110.2,1096.4,64.3342541514865,,,,,,,
2026-02-09 00:00:00+09:00,1190.0,1197.0,1132.0,1170.0,870300,1131.2,1107.16,64.3342541514865,33.458698920265306,,,,,,
2026-02-10 00:00:00+09:00,1189.0,1189.0,1155.0,1172.0,611300,1147.2,1117.4,64.55574206498942,35.59878012510717,,,,,,
2026-02-12 00:00:00+09:00,1168.0,1173.0,1142.0,1162.0,601700,1156.8,1125.8,62.466910432070804,36.072077022061876,,,,,,
2026-02-13 00:00:00+09:00,1143.0,1151.0,1101.0,1113.0,448200,1157.4,1126.24,53.35652307230798,32.12298396956703,,,,,,
2026-02-16 00:00:00+09:00,1141.0,1180.0,1125.0,1172.0,821900,1157.8,1123.76,60.7746499807285,33.369444011406586,,,,,,
2026-02-17 00:00:00+09:00,1180.0,1180.0,1140.0,1146.0,403900,1153.0,1122.4,56.50953178309461,31.891662630951487,,,,,,
2026-02-18 00:00:00+09:00,1151.0,1241.0,1150.0,1234.0,997100,1165.4,1125.44,65.36835009769464,37.39036197525638,,,,,,
2026-02-19 00:00:00+09:00,1205.0,1277.0,1183.0,1271.0,964700,1187.2,1131.32,68.29279477717273,44.223925712529535,,,,,,
2026-02-20 00:00:00+09:00,1261.0,1293.0,1225.0,1282.0,612600,1221.0,1135.88,69.1274710703543,49.95137393161758,38.9543871765699,,,,,
2026-02-24 00:00:00+09:00,1300.0,1320.0,1220.0,1252.0,862100,1237.0,1140.0,64.16634068729155,51.47628209265122,41.458766159786165,,,,,
2026-02-25 00:00:00+09:00,1235.0,1313.0,1232.0,1289.0,654000,1265.6,1144.6,67.28483030021607,55.035953363060344,44.174203600441004,,,,,
2026-02-26 00:00:00+09:00,1289.0,1316.0,1241.0,1249.0,733500,1268.6,1149.44,61.09470209856318,54.00679605796131,46.140722091945065,,,,,
2026-02-27 00:00:00+09:00,1262.0,1450.0,1251.0,1450.0,2159100,1304.4,1164.16,74.02599902835618,68.61920220287857,50.636418114131764,,,,,
2026-03-02 00:00:00+09:00,1480.0,1597.0,1456.0,1512.0,3798400,1350.4,1180.24,76.6086672642447,84.23155229131385,57.35544494956819,,,,,
2026-03-03 00:00:00+09:00,1517.0,1544.0,1412.0,1415.0,1496400,1383.0,1192.52,65.61597471545115,87.76565504104133,63.437486967862824,,,,,
2026-03-04 00:00:00+09:00,1355.0,1452.0,1303.0,1347.0,1525800,1394.6,1203.4,59.202570674423775,84.10985913224067,67.57196140073839,,,,,
2026-03-05 00:00:00+09:00,1399.0,1457.0,1365.0,1413.0,984700,1427.4,1216.08,62.984254556756255,85.55207192013495,71.16798350461771,,,,,
2026-03-06 00:00:00+09:00,1412.0,1505.0,1411.0,1505.0,1268200,1438.4,1234.04,67.50579952637517,93.0460896665461,75.54360473700339,,,,,
2026-03-09 00:00:00+09:00,1421.0,1514.0,1396.0,1493.0,1557000,1434.6,1251.36,66.36704288213159,96.8998518363378,79.81485415687027,,,,,
2026-03-10 00:00:00+09:00,1507.0,1602.0,1445.0,1600.0,2250600,1471.6,1271.92,71.05562224065616,107.35052189145858,85.32198770378794,,,,,
2026-03-11 00:00:00+09:00,1634.0,1733.0,1617.0,1668.0,2290300,1535.8,1296.04,73.57663031697821,119.73950245439983,92.20549065391032,,,,,
2026-03-12 00:00:00+09:00,1720.0,1755.0,1640.0,1668.0,1663100,1586.8,1319.08,73.57663031697821,128.0814159728934,99.38067571770694,,,,,
2026-03-13 00:00:00+09:00,1668.0,1835.0,1646.0,1773.0,2027600,1640.4,1345.44,77.14195336658705,141.53355430250645,107.81125143466684,,,,,
2026-03-16 00:00:00+09:00,1768.0,1841.0,1697.0,1703.0,1586300,1682.4,1369.16,70.32895514531614,144.87601533792986,115.22420421531945,,,,,
2026-03-17 00:00:00+09:00,1722.0,1785.0,1625.0,1645.0,1746400,1691.4,1388.16,65.19144285396916,141.2169632678149,120.42275602581854,,,,,
2026-03-18 00:00:00+09:00,1640.0,1694.0,1603.0,1645.0,949300,1686.8,1407.16,65.19144285396916,136.7408744576926,123.68637971219336,,,,,
